INFO 2026-07-07 19:22:26,259 log 18945 6144782336 "GET /static/icons/route.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,259 log 18945 6161608704 "GET /static/icons/shift.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,259 log 18945 6212087808 "GET /static/icons/vouncher.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,259 log 18945 6195261440 "GET /static/icons/bell.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,259 log 18945 6178435072 "GET /static/icons/moderation.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,260 log 18945 6127955968 "GET /static/icons/after-sales.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,261 log 18945 6195261440 "GET /static/icons/payment.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,262 log 18945 6161608704 "GET /static/icons/branch.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,262 log 18945 6127955968 "GET /static/icons/chart.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,262 log 18945 6178435072 "GET /static/icons/kpi.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,262 log 18945 6212087808 "GET /static/icons/cost.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,265 log 18945 6144782336 "GET /static/icons/invoice.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,266 log 18945 6127955968 "GET /static/icons/permission.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,266 log 18945 6195261440 "GET /static/icons/account.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,267 log 18945 6178435072 "GET /static/icons/asset.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,267 log 18945 6161608704 "GET /static/icons/company.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,268 log 18945 6212087808 "GET /static/icons/unit.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,269 log 18945 6144782336 "GET /static/icons/log.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,270 log 18945 6195261440 "GET /static/icons/menu.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,270 log 18945 6178435072 "GET /static/icons/person.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,271 log 18945 6161608704 "GET /static/icons/search.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,271 log 18945 6144782336 "GET /static/icons/logout.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,271 log 18945 6212087808 "GET /static/icons/login.svg HTTP/1.1" 304 0
